SalesKey,OrderDateKey,ShipDateKey,ProductKey,CustomerKey,EmployeeKey,GeographyKey,Quantity,UnitPrice,Discount,SalesAmount,TotalCost,Profit,Channel,PaymentMethod,OrderPriority
48,20210315,20210316,60,1042,17,22,4,425.65,0.0,1702.6,1073.2,629.4,Phone,PayPal,Low
49,20200616,20200619,83,1238,33,37,3,65.6,0.1,177.12,94.92,82.2,Retail,Bank Transfer,Low
50,20240922,20240927,51,668,4,18,2,24.53,0.0,49.06,28.54,20.52,Online,PayPal,High
51,20220314,20220316,99,1012,37,13,2,485.46,0.0,970.92,438.32,532.6,Phone,PayPal,Low
52,20210113,20210114,74,396,19,33,4,284.93,0.0,1139.72,739.28,400.44,Online,Cash,Low
53,20220506,20220507,171,684,13,21,2,226.2,0.0,452.4,300.06,152.34,Online,Cash,Medium
54,20201029,20201030,192,756,9,35,1,413.08,0.05,392.43,190.54,201.89,Online,Credit Card,Low
55,20200508,20200509,35,1155,6,5,3,66.39,0.0,199.17,80.97,118.2,Phone,Cash,Medium
56,20210117,20210119,193,337,16,10,2,445.25,0.1,801.45,443.7,357.75,Phone,Cash,Medium
57,20210117,20210119,77,102,28,25,4,72.86,0.0,291.44,190.96,100.48,Retail,Credit Card,Low
58,20240316,20240319,81,83,37,22,3,194.4,0.15,495.72,340.5,155.22,Online,Credit Card,Medium
59,20181216,20181223,52,662,1,16,4,151.37,0.1,544.93,390.96,153.97,Partner,Cash,Medium
60,20230408,20230413,23,590,38,10,2,143.02,0.1,257.44,162.68,94.76,Retail,PayPal,Medium
61,20190209,20190212,127,831,33,8,3,345.35,0.0,1036.05,768.27,267.78,Retail,PayPal,Low
62,20180212,20180217,149,1303,23,2,5,293.09,0.0,1465.45,1160.75,304.7,Phone,Cash,High
63,20221117,20221124,114,73,29,39,1,415.15,0.05,394.39,292.04,102.35,Partner,Cash,Low
64,20240424,20240425,90,829,32,8,1,338.46,0.0,338.46,281.34,57.12,Online,Cash,Low
65,20230222,20230225,127,76,9,9,3,345.35,0.0,1036.05,768.27,267.78,Online,Credit Card,Low
66,20200501,20200502,111,710,25,20,2,323.13,0.0,646.26,398.0,248.26,Phone,PayPal,Medium
67,20201204,20201218,86,387,6,2,2,229.76,0.15,390.59,409.76,-19.17,Phone,Credit Card,Low
68,20201010,20201017,165,1483,3,20,3,165.92,0.0,497.76,386.34,111.42,Partner,PayPal,Medium
69,20210502,20210504,191,895,48,5,2,72.26,0.15,122.84,79.72,43.12,Partner,Cash,Medium
70,20220322,20220325,174,868,33,27,4,219.24,0.2,701.57,769.4,-67.83,Partner,Bank Transfer,Low
71,20210710,20210713,42,378,20,3,4,118.18,0.0,472.72,410.44,62.28,Online,Cash,Low
72,20241018,20241023,12,354,50,23,4,127.2,0.0,508.8,364.72,144.08,Partner,Credit Card,Low
73,20190614,20190616,53,683,7,24,2,351.75,0.0,703.5,545.46,158.04,Retail,Cash,Low
74,20230326,20230327,87,16,37,34,2,198.37,0.0,396.74,312.14,84.6,Online,Bank Transfer,Medium
75,20231018,20231020,139,274,29,13,1,418.25,0.05,397.34,240.5,156.84,Online,Cash,Low
76,20201114,20201115,18,711,9,23,5,584.63,0.0,2923.15,1449.3,1473.85,Partner,Credit Card,Low
77,20190528,20190602,72,380,49,27,3,202.37,0.0,607.11,455.07,152.04,Partner,PayPal,Medium
78,20230711,20230712,53,1341,5,12,3,351.75,0.05,1002.49,818.19,184.3,Retail,Credit Card,Low
79,20180702,20180704,61,1358,39,12,4,538.09,0.0,2152.36,972.76,1179.6,Retail,PayPal,Low
80,20231003,20231004,15,580,49,37,1,205.02,0.1,184.52,179.76,4.76,Retail,Credit Card,High
81,20210109,20210111,182,1165,30,12,2,223.5,0.0,447.0,280.36,166.64,Online,Cash,High
82,20180609,20180623,81,54,12,11,3,194.4,0.0,583.2,340.5,242.7,Online,Credit Card,Medium
83,20230701,20230708,3,37,32,13,4,62.08,0.0,248.32,204.12,44.2,Partner,Bank Transfer,Medium
84,20220112,20220115,85,627,49,22,5,28.17,0.0,140.85,85.15,55.7,Phone,Credit Card,Low
85,20200108,20200111,50,1170,14,10,1,14.77,0.1,13.29,12.5,0.79,Partner,Cash,Medium
86,20240430,20240502,110,1369,18,14,3,413.64,0.0,1240.92,589.92,651.0,Retail,Bank Transfer,Low
87,20230601,20230602,88,978,16,8,4,240.31,0.0,961.24,781.32,179.92,Retail,Credit Card,Low
88,20180720,20180722,189,265,5,2,2,286.19,0.0,572.38,508.48,63.9,Phone,Credit Card,Medium
89,20210731,20210801,1,530,21,38,3,271.97,0.0,815.91,346.47,469.44,Phone,Bank Transfer,High
90,20240104,20240106,133,1082,37,18,3,498.15,0.0,1494.45,791.49,702.96,Online,Credit Card,Low
91,20220103,20220104,187,1313,31,26,2,58.84,0.0,117.68,65.72,51.96,Partner,Cash,Medium
92,20191212,20191214,135,1374,23,20,2,147.44,0.0,294.88,222.1,72.78,Online,Cash,Low
93,20221105,20221112,167,236,29,21,4,10.99,0.0,43.96,37.0,6.96,Partner,Credit Card,High
94,20230423,20230425,39,1085,2,1,5,269.44,0.0,1347.2,1162.6,184.6,Retail,Cash,Low
95,20210517,20210519,45,264,6,6,4,401.77,0.15,1366.02,1066.92,299.1,Retail,Cash,Low
96,20200521,20200524,183,32,32,37,5,399.93,0.0,1999.65,1413.65,586.0,Partner,Bank Transfer,Low
97,20190729,20190731,30,1038,35,3,3,24.87,0.0,74.61,55.02,19.59,Retail,PayPal,Medium
98,20180323,20180324,133,650,27,13,3,498.15,0.0,1494.45,791.49,702.96,Phone,Cash,High
99,20180920,20180925,55,941,47,18,2,84.15,0.0,168.3,145.0,23.3,Partner,Credit Card,Low
100,20181013,20181014,32,357,30,8,5,345.72,0.0,1728.6,1247.4,481.2,Partner,Bank Transfer,Low
101,20180123,20180124,180,560,3,21,1,461.19,0.05,438.13,282.37,155.76,Retail,Credit Card,Low
102,20230725,20230726,51,571,9,25,2,24.53,0.15,41.7,28.54,13.16,Phone,PayPal,Low
103,20240608,20240611,139,112,30,7,4,418.25,0.15,1422.05,962.0,460.05,Partner,Credit Card,Low
104,20180725,20180726,4,1161,10,16,4,47.4,0.0,189.6,88.52,101.08,Phone,Credit Card,Medium
105,20211226,20211229,170,1469,2,33,3,170.23,0.1,459.62,434.64,24.98,Partner,Cash,Low
106,20180405,20180407,180,398,16,37,5,461.19,0.0,2305.95,1411.85,894.1,Online,Cash,High
107,20241127,20241130,80,11,43,14,3,140.14,0.1,378.38,225.3,153.08,Partner,Bank Transfer,High
108,20211031,20211107,123,1006,26,18,3,21.93,0.05,62.5,28.68,33.82,Online,Credit Card,Low
109,20180517,20180518,62,190,30,31,1,116.94,0.0,116.94,98.81,18.13,Phone,Bank Transfer,High
110,20240108,20240111,63,224,16,24,5,105.24,0.1,473.58,361.2,112.38,Phone,Bank Transfer,Medium
111,20230731,20230807,20,1011,15,11,4,304.23,0.0,1216.92,827.4,389.52,Partner,Cash,Low
112,20240228,20240229,135,71,44,23,2,147.44,0.0,294.88,222.1,72.78,Partner,Bank Transfer,Low
113,20200731,20200801,117,729,10,4,3,267.98,0.0,803.94,525.57,278.37,Retail,Bank Transfer,High
114,20180315,20180317,120,5,25,35,2,240.82,0.1,433.48,390.82,42.66,Retail,Cash,Medium
115,20210907,20210921,174,676,24,40,5,219.24,0.0,1096.2,961.75,134.45,Phone,Cash,Medium
116,20190703,20190706,114,1409,4,10,2,415.15,0.05,788.78,584.08,204.7,Partner,Credit Card,Low
117,20200926,20201003,141,723,19,35,3,366.0,0.0,1098.0,802.65,295.35,Phone,Cash,Low
118,20201021,20201023,79,797,31,21,3,391.53,0.0,1174.59,609.84,564.75,Phone,Cash,Medium
119,20230522,20230527,186,1222,21,25,1,38.98,0.05,37.03,34.73,2.3,Retail,Bank Transfer,Medium
120,20210923,20210925,54,495,27,25,2,241.39,0.0,482.78,252.12,230.66,Retail,Credit Card,Low
121,20181018,20181021,63,765,31,8,3,105.24,0.1,284.15,216.72,67.43,Retail,Credit Card,Low
122,20180312,20180319,20,915,49,24,1,304.23,0.05,289.02,206.85,82.17,Retail,Credit Card,Low
123,20180418,20180419,38,1339,40,28,4,398.73,0.05,1515.17,854.08,661.09,Retail,Bank Transfer,Medium
124,20210419,20210421,143,796,13,7,3,199.08,0.05,567.38,526.77,40.61,Partner,Cash,High
125,20230108,20230110,35,946,34,32,4,66.39,0.0,265.56,107.96,157.6,Online,Bank Transfer,Medium
126,20210712,20210713,54,129,32,7,3,241.39,0.0,724.17,378.18,345.99,Online,Bank Transfer,Medium
127,20240229,20240301,188,297,47,7,3,35.11,0.15,89.53,78.0,11.53,Partner,PayPal,Low
128,20220207,20220208,175,402,4,36,2,196.76,0.0,393.52,231.02,162.5,Phone,Bank Transfer,Medium
129,20230717,20230719,181,1209,42,31,2,206.64,0.1,371.95,239.02,132.93,Partner,PayPal,Low
130,20210528,20210529,167,772,49,33,2,10.99,0.0,21.98,18.5,3.48,Phone,Bank Transfer,Low
131,20190723,20190724,188,1305,18,18,2,35.11,0.0,70.22,52.0,18.22,Phone,Credit Card,Low
132,20210110,20210111,57,1371,27,39,4,563.09,0.15,1914.51,1117.04,797.47,Partner,Cash,Medium
133,20180613,20180615,109,1399,15,15,2,191.72,0.0,383.44,201.98,181.46,Online,Credit Card,Medium
134,20200718,20200720,160,1043,5,17,4,66.01,0.0,264.04,204.6,59.44,Partner,Credit Card,Low
135,20210716,20210718,64,1289,5,35,2,524.47,0.15,891.6,492.62,398.98,Online,PayPal,High
136,20210421,20210424,120,1160,4,14,1,240.82,0.05,228.78,195.41,33.37,Online,Bank Transfer,Low
137,20230520,20230527,67,1234,1,10,3,55.2,0.0,165.6,121.08,44.52,Online,Cash,Low
138,20180629,20180701,37,507,44,37,3,13.47,0.1,36.37,19.89,16.48,Retail,Bank Transfer,Low
139,20190417,20190418,25,547,27,39,4,205.9,0.0,823.6,665.12,158.48,Partner,Cash,Medium
140,20210208,20210211,62,1116,48,31,1,116.94,0.15,99.4,98.81,0.59,Partner,Credit Card,Low
141,20190616,20190630,117,649,25,24,2,267.98,0.05,509.16,350.38,158.78,Retail,Bank Transfer,Low
142,20230613,20230614,152,237,36,16,3,282.98,0.0,848.94,493.47,355.47,Phone,PayPal,High
143,20190901,20190902,103,1328,4,29,4,205.38,0.0,821.52,735.6,85.92,Retail,PayPal,High
144,20241014,20241016,68,1047,43,20,4,383.48,0.05,1457.22,1132.64,324.58,Phone,Cash,High
145,20201218,20201219,143,886,33,7,3,199.08,0.0,597.24,526.77,70.47,Online,PayPal,Medium
146,20200901,20200906,199,781,45,19,5,376.7,0.15,1600.98,1291.15,309.83,Phone,Credit Card,Medium
147,20200901,20200903,87,1289,5,25,4,198.37,0.05,753.81,624.28,129.53,Online,Cash,Medium
148,20180812,20180817,99,1032,25,16,1,485.46,0.0,485.46,219.16,266.3,Online,Bank Transfer,High
149,20180708,20180711,51,1449,10,6,1,24.53,0.0,24.53,14.27,10.26,Online,Bank Transfer,Low
150,20180228,20180301,195,150,18,40,4,455.98,0.05,1732.72,905.72,827.0,Online,Bank Transfer,Medium
151,20201028,20201031,109,621,36,4,4,191.72,0.0,766.88,403.96,362.92,Online,PayPal,High
152,20220216,20220221,2,616,19,21,5,367.82,0.05,1747.14,1104.7,642.44,Retail,PayPal,Low
153,20200404,20200405,117,695,32,40,1,267.98,0.0,267.98,175.19,92.79,Retail,Bank Transfer,Medium
154,20190210,20190212,75,241,43,35,1,26.54,0.15,22.56,20.19,2.37,Retail,Credit Card,Low
155,20190906,20190911,91,926,44,8,4,125.24,0.0,500.96,422.44,78.52,Online,Bank Transfer,Low
156,20230219,20230305,199,1271,40,32,2,376.7,0.0,753.4,516.46,236.94,Phone,PayPal,Low
157,20201110,20201113,186,1359,25,16,3,38.98,0.0,116.94,104.19,12.75,Partner,PayPal,High
158,20190119,20190121,169,163,32,24,2,469.49,0.0,938.98,514.72,424.26,Online,PayPal,Low
159,20190216,20190218,133,1020,39,24,1,498.15,0.0,498.15,263.83,234.32,Retail,Bank Transfer,Medium
160,20230427,20230430,15,1305,18,9,3,205.02,0.1,553.55,539.28,14.27,Phone,Cash,High
161,20240328,20240404,58,499,2,24,5,413.23,0.0,2066.15,959.25,1106.9,Online,Bank Transfer,Low
162,20240402,20240403,2,1401,46,17,3,367.82,0.0,1103.46,662.82,440.64,Partner,PayPal,Medium
163,20191025,20191026,66,973,14,23,2,162.42,0.0,324.84,256.28,68.56,Phone,PayPal,Low
164,20220523,20220526,180,488,3,1,4,461.19,0.0,1844.76,1129.48,715.28,Phone,PayPal,Low
165,20180215,20180218,145,551,16,28,1,148.09,0.0,148.09,89.53,58.56,Partner,Credit Card,Low
166,20180810,20180817,130,390,32,23,1,203.39,0.1,183.05,173.17,9.88,Partner,PayPal,Medium
167,20200122,20200124,163,1145,35,3,2,539.85,0.0,1079.7,573.38,506.32,Retail,Credit Card,Low
168,20240113,20240115,45,1241,15,7,3,401.77,0.0,1205.31,800.19,405.12,Partner,Credit Card,High
169,20200328,20200330,14,432,11,32,3,99.4,0.0,298.2,191.7,106.5,Online,PayPal,High
170,20210622,20210627,196,693,44,29,5,428.43,0.0,2142.15,1486.0,656.15,Retail,Bank Transfer,Low
171,20180110,20180112,198,515,5,33,1,242.83,0.05,230.69,105.54,125.15,Partner,Bank Transfer,Low
172,20231107,20231109,145,9,36,2,1,148.09,0.05,140.69,89.53,51.16,Online,Cash,Low
173,20240701,20240703,198,1017,26,6,4,242.83,0.0,971.32,422.16,549.16,Online,Bank Transfer,Low
174,20240522,20240523,145,81,32,12,2,148.09,0.1,266.56,179.06,87.5,Partner,Bank Transfer,Low
175,20180803,20180806,27,1474,26,36,5,623.42,0.2,2493.68,1410.75,1082.93,Online,Credit Card,Low
176,20200922,20200924,140,193,20,16,1,422.38,0.05,401.26,212.08,189.18,Partner,PayPal,High
177,20230215,20230216,80,1351,35,7,2,140.14,0.0,280.28,150.2,130.08,Online,Bank Transfer,Medium
178,20201231,20210103,49,1268,1,22,2,232.01,0.0,464.02,318.42,145.6,Online,Credit Card,High
179,20210516,20210519,172,112,20,2,2,82.11,0.05,156.01,112.18,43.83,Phone,Bank Transfer,Medium
180,20220723,20220726,21,610,35,31,3,62.84,0.0,188.52,123.0,65.52,Retail,Cash,Low
181,20200908,20200909,26,516,22,32,2,567.94,0.05,1079.09,582.06,497.03,Partner,PayPal,Low
182,20190206,20190209,195,825,19,18,4,455.98,0.05,1732.72,905.72,827.0,Retail,PayPal,Medium
183,20190904,20190906,159,430,20,27,5,154.47,0.05,733.73,628.2,105.53,Retail,Bank Transfer,Low
184,20240715,20240716,174,828,17,6,3,219.24,0.0,657.72,577.05,80.67,Partner,Credit Card,Low
185,20200408,20200409,60,34,7,26,3,425.65,0.0,1276.95,804.9,472.05,Partner,PayPal,Low
186,20200624,20200625,142,1098,16,20,1,135.75,0.15,115.39,115.8,-0.41,Retail,PayPal,Low
187,20181223,20181230,175,1004,44,25,1,196.76,0.0,196.76,115.51,81.25,Online,Credit Card,Low
188,20240822,20240824,27,753,46,22,4,623.42,0.1,2244.31,1128.6,1115.71,Online,Cash,High
189,20210901,20210904,111,221,16,5,5,323.13,0.1,1454.08,995.0,459.08,Partner,Cash,Low
190,20230321,20230326,175,940,35,10,4,196.76,0.0,787.04,462.04,325.0,Online,Cash,Medium
191,20231024,20231027,164,1166,47,5,4,283.65,0.0,1134.6,674.12,460.48,Online,Credit Card,Low
192,20210127,20210130,61,88,4,23,3,538.09,0.0,1614.27,729.57,884.7,Partner,Bank Transfer,Low
193,20180922,20180924,6,533,10,21,4,26.67,0.0,106.68,44.28,62.4,Online,Credit Card,Low
194,20221114,20221115,104,904,22,32,3,61.47,0.0,184.41,104.79,79.62,Retail,PayPal,Medium
195,20210111,20210118,5,120,16,26,5,333.96,0.0,1669.8,911.65,758.15,Phone,Bank Transfer,Medium
196,20230103,20230106,165,894,48,27,2,165.92,0.15,282.06,257.56,24.5,Phone,Credit Card,High
197,20220525,20220526,105,343,3,3,5,7.92,0.0,39.6,32.45,7.15,Partner,Credit Card,High
198,20180816,20180821,131,803,17,36,2,460.35,0.0,920.7,372.86,547.84,Phone,Credit Card,Medium
199,20230612,20230613,188,374,6,2,2,35.11,0.0,70.22,52.0,18.22,Phone,Cash,Low
200,20231219,20231222,83,1027,48,12,4,65.6,0.0,262.4,126.56,135.84,Online,Cash,Low
201,20230408,20230409,10,244,34,8,4,175.53,0.0,702.12,529.68,172.44,Phone,Bank Transfer,Medium
202,20220511,20220513,148,1315,13,17,2,66.49,0.0,132.98,84.96,48.02,Retail,PayPal,Low
203,20190629,20190702,94,1260,39,23,2,395.37,0.0,790.74,492.16,298.58,Phone,Cash,Medium
204,20180901,20180904,41,1131,31,25,1,441.27,0.0,441.27,259.62,181.65,Partner,Cash,Low
205,20210603,20210605,10,1050,47,6,5,175.53,0.0,877.65,662.1,215.55,Retail,Credit Card,Medium
206,20240325,20240326,66,379,39,25,2,162.42,0.0,324.84,256.28,68.56,Online,Credit Card,Low
207,20240411,20240412,16,879,4,15,2,226.12,0.1,407.02,368.46,38.56,Online,Cash,High
208,20230507,20230510,200,342,35,20,2,433.32,0.0,866.64,453.02,413.62,Phone,Bank Transfer,Medium
209,20190320,20190321,115,888,49,22,2,458.82,0.1,825.88,536.3,289.58,Online,PayPal,Low
210,20190907,20190909,113,1231,29,5,1,106.98,0.0,106.98,83.23,23.75,Online,Credit Card,Low
211,20230111,20230116,119,748,32,4,6,98.93,0.0,593.58,526.98,66.6,Online,Credit Card,Low
212,20200404,20200407,192,778,24,23,4,413.08,0.05,1569.7,762.16,807.54,Partner,Credit Card,Medium
213,20200724,20200731,118,195,3,8,5,116.19,0.0,580.95,313.0,267.95,Online,Bank Transfer,High
214,20221011,20221014,159,698,43,37,4,154.47,0.0,617.88,502.56,115.32,Online,Credit Card,Low
215,20190117,20190124,176,1022,2,5,3,325.23,0.0,975.69,460.29,515.4,Partner,Bank Transfer,Low
216,20190606,20190607,172,914,24,24,4,82.11,0.1,295.6,224.36,71.24,Online,Credit Card,Low
217,20200421,20200422,56,500,27,32,2,110.42,0.0,220.84,180.96,39.88,Phone,Cash,Low
218,20220521,20220522,63,72,43,16,3,105.24,0.0,315.72,216.72,99.0,Partner,Credit Card,Medium
219,20230220,20230221,81,193,9,39,2,194.4,0.0,388.8,227.0,161.8,Retail,PayPal,Low
220,20240115,20240116,187,441,35,40,3,58.84,0.0,176.52,98.58,77.94,Partner,Bank Transfer,Low
221,20190701,20190703,163,906,36,32,3,539.85,0.2,1295.64,860.07,435.57,Retail,PayPal,Medium
222,20241228,20250104,145,728,7,19,3,148.09,0.05,422.06,268.59,153.47,Partner,Credit Card,Medium
223,20180616,20180618,79,657,14,22,4,391.53,0.0,1566.12,813.12,753.0,Retail,Cash,Low
224,20230901,20230906,194,276,10,31,3,108.72,0.0,326.16,264.6,61.56,Retail,Credit Card,Medium
225,20231016,20231018,121,917,3,31,4,667.65,0.05,2537.07,1129.76,1407.31,Partner,Bank Transfer,Low
226,20200427,20200429,178,175,20,24,5,44.61,0.0,223.05,129.1,93.95,Retail,Cash,Low
227,20180117,20180124,58,492,7,33,2,413.23,0.0,826.46,383.7,442.76,Retail,PayPal,Medium
228,20180912,20180914,54,201,8,12,6,241.39,0.05,1375.92,756.36,619.56,Online,PayPal,High
229,20181124,20181125,126,1224,34,35,3,129.85,0.1,350.6,275.58,75.02,Online,Bank Transfer,High
230,20230621,20230623,56,1016,18,7,3,110.42,0.0,331.26,271.44,59.82,Partner,Bank Transfer,Medium
231,20181212,20181217,158,1298,13,35,3,455.8,0.0,1367.4,754.83,612.57,Partner,Bank Transfer,Medium
232,20240406,20240407,68,108,21,9,3,383.48,0.0,1150.44,849.48,300.96,Retail,Credit Card,High
233,20220205,20220210,88,63,6,27,4,240.31,0.05,913.18,781.32,131.86,Phone,PayPal,Low
234,20240612,20240617,184,1296,10,30,4,645.06,0.0,2580.24,1154.2,1426.04,Phone,PayPal,Medium
235,20180625,20180627,15,991,26,10,1,205.02,0.0,205.02,179.76,25.26,Partner,Credit Card,High
236,20240618,20240619,134,1015,31,26,2,383.81,0.0,767.62,421.24,346.38,Retail,Credit Card,Medium
237,20190628,20190629,63,1386,24,18,1,105.24,0.0,105.24,72.24,33.0,Retail,Cash,Low
238,20240710,20240712,100,433,33,14,2,522.86,0.0,1045.72,533.38,512.34,Partner,Credit Card,Medium
239,20210918,20210923,50,968,13,3,5,14.77,0.0,73.85,62.5,11.35,Retail,Cash,Low
240,20210309,20210312,101,1175,2,34,2,226.59,0.0,453.18,388.8,64.38,Partner,Cash,Low
241,20221212,20221214,128,175,33,9,4,88.48,0.0,353.92,220.0,133.92,Retail,Cash,Low
242,20210801,20210804,155,1494,20,16,2,313.35,0.0,626.7,479.16,147.54,Online,Bank Transfer,Medium
243,20210928,20210929,196,993,21,8,4,428.43,0.05,1628.03,1188.8,439.23,Retail,Bank Transfer,High
244,20240505,20240519,105,1320,2,3,4,7.92,0.0,31.68,25.96,5.72,Partner,Credit Card,Low
245,20180705,20180706,83,412,22,21,2,65.6,0.2,104.96,63.28,41.68,Phone,Bank Transfer,High
246,20180420,20180425,7,25,37,32,2,315.65,0.05,599.73,501.14,98.59,Retail,Credit Card,Low
247,20200206,20200208,135,904,25,29,4,147.44,0.0,589.76,444.2,145.56,Retail,PayPal,Medium
248,20180204,20180211,34,294,48,34,2,93.35,0.0,186.7,93.14,93.56,Retail,Bank Transfer,Medium
249,20210530,20210531,21,1487,21,24,1,62.84,0.1,56.56,41.0,15.56,Retail,Cash,High
250,20220704,20220707,62,734,23,39,5,116.94,0.15,497.0,494.05,2.95,Partner,PayPal,Medium
251,20221105,20221108,57,218,19,15,3,563.09,0.0,1689.27,837.78,851.49,Retail,Credit Card,Medium
252,20200308,20200310,61,750,44,4,6,538.09,0.2,2582.83,1459.14,1123.69,Partner,Bank Transfer,Low
253,20180110,20180112,82,728,37,23,5,303.57,0.15,1290.17,959.45,330.72,Retail,Bank Transfer,Low
254,20240306,20240311,191,977,23,15,4,72.26,0.15,245.68,159.44,86.24,Partner,PayPal,Medium
255,20220718,20220719,179,1148,17,32,2,21.12,0.1,38.02,25.64,12.38,Online,Bank Transfer,Medium
256,20180207,20180209,148,1453,47,37,1,66.49,0.0,66.49,42.48,24.01,Online,Credit Card,Low
257,20230602,20230604,28,1337,43,33,2,413.11,0.0,826.22,362.76,463.46,Partner,Credit Card,High
